Column_Name,DataType,Input_Method,Y,MaxLength,Description
PrincipalContact,VARCHAR,Input,N,50,Name or position of person to whom correspondence will be addressed at this location.
StatusAtTheAddress,VARCHAR,Input,N,50,Status at address
PreferredStatementChannel,VARCHAR,Input,N,50,"Select from configurable list of those offered by the bank and valid for the party e.g. mail, internet, SWIFT. Configurable default value."
PreferredLanguage,VARCHAR,Default,N,,For customer documents and other communications. If not entered the bank default language will be used.
PreferredReportingCurrency,VARCHAR,Default,N,,"The preferred reporting currency for use with customer documents for this party. Select from list of ISO currency codes. If left blank, base currency will be used."
IsAgreetoContactForMarketing,VARCHAR,Input,N,,Agree to contact by bank for marketing purposes?
FeeWaiverIndicator,VARCHAR,Input,N,,Fee waiver eligibility indicator
IsBundlePricingEligibility,VARCHAR,Input,N,,Bundle pricing eligibility indicator
IsWHTLiable,VARCHAR,Input,N,1,Withholding liability
TaxCountry,VARCHAR,Input,N,20,Country Code
TaxIdNumber,VARCHAR,Input,N,50,Tax Number
IsTaxPayer,VARCHAR,Generate,N,1,Is a tax payer ?
IsRegistredForGST,VARCHAR,Input,N,1,Is registered for GST tax ?
GSTRegistrationNumber,VARCHAR,Input,N,50,Registration number for goods or services tax ?
TaxExcemptionId,VARCHAR,Input,N,50,Tax exemption status id
RelatedPartyID,VARCHAR,Input,N,30,Primary key used internally in the system
RelationshipType,VARCHAR,Input,N,50,"The relationship of the related party to the original party.The reciprocal relationship type will be associated with the original party. Codetype 1062 for personal parties, 1063 for enterprise parties"
PercentageOfOwnership,DECIMAL,Default,N,,"Percentage of ownership, liability or shareholding. Mandatory for certain types of relationship, such as owners, partners, limited liability partners and shareholders."
RelationshipFromDate,DATE,Default,N,,Must be a valid date. Default = processing date
RelationshipToDate,DATE,Default,N,,"A value of blank indicates that this is a current relationship, else the user must enter a valid date that must be after the from date"
Narrative,VARCHAR,Default,N,256,Narrative is for every relationship attached to a PARTY
ClosureDate,DATE,Default,N,,Party closure date time
WatchListStatus,VARCHAR,Default,N,,Watchlist Status
StatusReasonCode,VARCHAR,Default,N,,party status reason code is provided whenver party status is changed manually
StatusChangeDate,DATE,Default,N,,Party status changed date
StatusStartDate,DATE,Default,N,,"this is the date on which the status changed, or conviction or sentence began."
StatusEndDate,DATE,Default,N,,"This is the discharge or release date, or the status end date, which if entered must be greater than any start date."
JudgementType,VARCHAR,Default,N,,This is a generic code  for Court Judgement.
JudgementExpiryDate,DATE,Default,N,,"This is the date on which the judgment need no longer be reported (is ""spent""), and may need to be deleted from the system."
IsCustodial,VARCHAR,Default,N,,"True if the sentence resulted in detention, otherwise false."
StatusChangeReason,VARCHAR,Default,N,,Reason Code
StatementProfileId,VARCHAR,Input,N,20,Customer Statement Profile Id.Primary key of CUSTSTMTPROFILE table
DelinquencyStatus,VARCHAR,Input,N,20,Deliquent Status of Customer.
DelinquencyLoanStatus,VARCHAR,Input,N,50,"When updating the Customer Worst Status marking, there should be two different fields to store the Worst Case Status for Lending accounts and Movement Accounts.  While determining the Worst  status ever recorded for Setting as 1,  the system should proceed to update with the worst ever delinquency stage of any one of the account of the Customer for the accounts group(Lending Accounts or Movement Accounts) and  the number of days or installments in arrears for the Worst ever Delinquency stage should not be the basis."
ChargeFundingAccount,VARCHAR,Input,N,20,Charge Funding Account
SignatureStatus,VARCHAR,Default,N,50,"Signature Status - Y if Siganature captured in SigCap. N if Signature not captured. Default as N, to be updated once SigCap migration is complete and update reference is SignatureTransactionReference"
SignatureTransactionReference,VARCHAR,Default,N,30,Signature Transaction Reference - NA is SiganatureStatus is N. Reference from SigCap to be updated if SignatureStatus is Y. Defaulted as NA. Reference to be captured once SigCap migration to be completed
PriorKYCStatus,VARCHAR,Default,N,50,Prior KYC Status. No Value to be defaulted
IsMobileBanking,VARCHAR,Default,N,1,While Party On Boarding Options must be provided to select Mobile Baking Facility
IsInternetBanking,VARCHAR,Default,N,1,While Party On Boarding Options must be provided to select Internet Baking Facility
